isan,title,genre_id,release_year,poster,trailer,summary
0000-0002-F317-0000-N-0000-0000-5,"Les Aventures de Tintin, Le Secret de La Licorne ",3,2011,0000-0002-F317-0000-N-0000-0000-5.jpg,https://www.youtube.com/watch?v=_XyS71FIHVc,"Tintin, notre intrépide reporter, son fidèle compagnon Milou et son inséparable ami le capitaine Haddock partent à la recherche d’un trésor enfoui avec l’épave d’un bateau ""la Licorne"", commandé autrefois par un ancêtre du capitaine Haddock."
0000-0003-67BF-0000-P-0000-0000-0,Lincoln,15,2012,0000-0003-67BF-0000-P-0000-0000-0.jpg,https://www.youtube.com/watch?v=KJVuqYkI2jQ,"Les derniers mois tumultueux du mandat du 16e Président des Etats-Unis. Dans une nation déchirée par la guerre civile et secouée par le vent du changement, Abraham Lincoln met tout en oeuvre pour résoudre le conflit, unifier le pays et abolir l'esclavage. Cet homme doté d'une détermination et d'un courage moral exceptionnels va devoir faire des choix qui bouleverseront le destin des générations à venir."
0000-0004-0CB7-0000-L-0000-0000-B ,Le Pont des Espions,10,2015,0000-0004-0CB7-0000-L-0000-0000-B.jpg,https://www.youtube.com/watch?v=7JnC2LIJdR0,"James Donovan, un avocat de Brooklyn se retrouve plongé au coeur de la guerre froide lorsque la CIA l’envoie accomplir une mission presque impossible : négocier la libération du pilote d’un avion espion américain U-2 qui a été capturé."
0000-0006-27D1-0000-D-0000-0000-Z,West Side Story,17,2021,0000-0006-27D1-0000-D-0000-0000-Z.jpg,https://www.youtube.com/watch?v=A5GJLwWiYSg,"Dans les années 1950, deux bandes de jeunes s'affrontent pour le contrôle d'un quartier défavorisé de l'Upper West Side en pleine gentrification. Il y d'un côté les immigrés portoricains des Sharks, dirigés par Bernardo et de l'autre les Américains des Jets, avec Riff à leur tête. Récemment sorti de prison, Tony, lié aux Jets, en a marre de cette violence quotidienne. Il préfère travailler dans la boutique de Valentina, veuve de Doc. Un jour, lors d'une soirée dansante au lycée, Tony tombe sous le charme de Maria, la soeur de Bernardo. Cependant, du fait de leur appartenance à ces bandes opposées, il s’agit d’un amour impossible."
0000-0006-E7C9-0000-M-0000-0000-8,The Fabelmans,4,2022,0000-0006-E7C9-0000-M-0000-0000-8.jpg,https://www.youtube.com/watch?v=D1G2iLSzOe8,"Passionné de cinéma, Sammy Fabelman passe son temps à filmer sa famille. S’il est encouragé dans cette voie par sa mère Mitzi, dotée d’un tempérament artistique, son père Burt, scientifique accompli, considère que sa passion est surtout un passe-temps. Au fil des années, Sammy, à force de pointer sa caméra sur ses parents et ses soeurs, est devenu le documentariste de l’histoire familiale !  Il réalise même de petits films amateurs de plus en plus sophistiqués, interprétés par ses amis et ses soeurs. Mais lorsque ses parents décident de déménager dans l’ouest du pays, il découvre une réalité bouleversante sur sa mère qui bouscule ses rapports avec elle et fait basculer son avenir et celui de ses proches."
0000-0000-63FB-0000-X-0000-0000-C,West Side Story,17,1961,0000-0000-63FB-0000-X-0000-0000-C.jpg,https://www.youtube.com/watch?v=GzBaTrUw1WQ,"A New York, dans les années 1950, deux gangs de rue rivaux, les Jets (Américains d'origine polonaise, irlandaise et italienne) et les Sharks (immigrés d'origine portoricaine), font la loi dans le quartier du West Side. Ils se provoquent sans cesse, et s'affrontent à l'occasion. Tony, ancien chef des Jets qui a maintenant pris ses distances avec le gang, et Maria, la soeur du chef des Sharks, tombent amoureux, mais le couple doit subir les forces opposées de leurs clans respectifs."
0000-0000-6C64-0000-E-0000-0000-W,Terminator,20,1984,0000-0000-6C64-0000-E-0000-0000-W.jpg,https://www.youtube.com/watch?v=k64P4l2Wmeg,"A Los Angeles en 1984, un Terminator, cyborg surgi du futur, a pour mission d'exécuter Sarah Connor, une jeune femme dont l'enfant à naître doit sauver l'humanité. Kyle Reese, un résistant humain, débarque lui aussi pour combattre le robot, et aider la jeune femme."
0000-0000-7A5A-0000-Y-0000-0000-9,Abyss,16,1989,0000-0000-7A5A-0000-Y-0000-0000-9.jpg,https://www.youtube.com/watch?v=MuM7uRdIcb8,"Un commando de la Marine américaine débarque à bord de la station de forage sous-marine DeepCore afin de porter secours à un sous-marin échoué dans les profondeurs. L'équipe de Bud Brigman accueille ces nouveaux arrivants, ainsi que Lindsey, future ex-femme de Bud. Alors que les travaux de récupération commencent autour du submersible naufragé, l'équipage de DeepCore doit faire face à des phénomènes inexpliqués. Et s'ils n'étaient pas seuls dans les abysses ?"
0000-0001-B30E-0000-Z-0000-0000-6,"Terminator 2, Le Jugement dernier",20,1991,0000-0001-B30E-0000-Z-0000-0000-6.jpg,https://www.youtube.com/watch?v=CRRlbK5w8AE,"En 2029, après leur échec pour éliminer Sarah Connor, les robots de Skynet programment un nouveau Terminator, le T-1000, pour retourner dans le passé et éliminer son fils John Connor, futur leader de la résistance humaine. Ce dernier programme un autre cyborg, le T-800 et l’envoie également en 1995, pour le protéger. Une seule question déterminera le sort de l’humanité : laquelle des deux machines trouvera John la première ?"
0000-0000-3EB5-0000-Q-0000-0000-X,Titanic,6,1997,0000-0000-3EB5-0000-Q-0000-0000-X.jpg,https://www.youtube.com/watch?v=kVrqfYjkTdQ,"Southampton, 10 avril 1912. Le paquebot le plus grand et le plus moderne du monde, réputé pour son insubmersibilité, le ""Titanic"", appareille pour son premier voyage. Quatre jours plus tard, il heurte un iceberg. A son bord, un artiste pauvre et une grande bourgeoise tombent amoureux."
0000-0001-DB15-0000-X-0000-0000-C ,Avatar,20,2009,0000-0001-DB15-0000-X-0000-0000-C.jpg,https://www.youtube.com/watch?v=CM79GTEm2ps,"Un marine paraplégique, envoyé sur la lune Pandora pour une mission unique, est tiraillé entre suivre ses ordres et protéger le monde qu'il considère dorénavant comme le sien."
0000-0000-006E-0000-X-0000-0000-C,Reservoir Dogs,13,1992,0000-0000-006E-0000-X-0000-0000-C.jpg,https://www.youtube.com/watch?v=pswIExH61dw,"Après un hold-up manqué, des cambrioleurs de haut vol font leurs comptes dans une confrontation violente, pour découvrir lequel d’entre eux les a trahis."
